Year,Category,Status,Amount
2019-05,Category D,Vehicle Registration,1685.0
2019-06,Category A,Vehicle Registration,3188.0
2019-06,Category B,Vehicle Registration,2961.0
2019-06,Category D,Vehicle Registration,1642.0
2019-07,Category A,Vehicle Registration,3658.0
2019-07,Category B,Vehicle Registration,3327.0
2019-07,Category D,Vehicle Registration,1986.0
2019-08,Category A,Vehicle Registration,2390.0
2019-08,Category B,Vehicle Registration,2705.0
2019-08,Category D,Vehicle Registration,1628.0
2019-09,Category A,Vehicle Registration,2567.0
2019-09,Category B,Vehicle Registration,3004.0
2019-09,Category D,Vehicle Registration,1371.0
2019-10,Category A,Vehicle Registration,2202.0
2019-10,Category B,Vehicle Registration,2812.0
2019-10,Category D,Vehicle Registration,1332.0
2019-11,Category A,Vehicle Registration,2447.0
2019-11,Category B,Vehicle Registration,2622.0
2019-11,Category D,Vehicle Registration,1473.0
2019-12,Category A,Vehicle Registration,2156.0
2019-12,Category B,Vehicle Registration,2550.0
2019-12,Category D,Vehicle Registration,1788.0
2020-01,Category A,Vehicle Registration,2160.0
2020-01,Category B,Vehicle Registration,2861.0
2020-01,Category D,Vehicle Registration,979.0
2020-02,Category A,Vehicle Registration,2028.0
2020-02,Category B,Vehicle Registration,2630.0
2020-02,Category D,Vehicle Registration,1150.0
2020-03,Category A,Vehicle Registration,2250.0
2020-03,Category B,Vehicle Registration,2732.0
2020-03,Category D,Vehicle Registration,1371.0
2020-04,Category A,Vehicle Registration,263.0
2020-04,Category B,Vehicle Registration,419.0
2020-04,Category D,Vehicle Registration,598.0
2020-05,Category A,Vehicle Registration,13.0
2020-05,Category B,Vehicle Registration,34.0
2020-05,Category D,Vehicle Registration,431.0
2020-06,Category A,Vehicle Registration,449.0
2020-06,Category B,Vehicle Registration,612.0
2020-06,Category D,Vehicle Registration,415.0
2020-07,Category A,Vehicle Registration,1909.0
2020-07,Category B,Vehicle Registration,2912.0
2020-07,Category D,Vehicle Registration,950.0
2020-08,Category A,Vehicle Registration,2277.0
2020-08,Category B,Vehicle Registration,2897.0
2020-08,Category D,Vehicle Registration,907.0
2020-09,Category A,Vehicle Registration,1978.0
2020-09,Category B,Vehicle Registration,2578.0
2020-09,Category D,Vehicle Registration,865.0
2020-10,Category B,Vehicle Registration,2650.0
2020-10,Category D,Vehicle Registration,833.0
2020-10,Category A,Vehicle Registration,2091.0
2020-11,Category D,Vehicle Registration,968.0
2020-11,Category A,Vehicle Registration,1819.0
2020-11,Category B,Vehicle Registration,2840.0
2020-12,Category D,Vehicle Registration,1077.0
2020-12,Category A,Vehicle Registration,1291.0
2020-12,Category B,Vehicle Registration,2614.0
2021-01,Category B,Vehicle Registration,2799.0
2021-01,Category D,Vehicle Registration,973.0
2021-01,Category A,Vehicle Registration,2452.0
2021-02,Category D,Vehicle Registration,867.0
